model,train_size,train_pool_size,test_size,seed,train_time_s,infer_time_s,n_restarts,n_successful_restarts,n_failed_restarts,selected_restart_idx,lbfgs_stop_reason,lbfgs_iterations,final_train_nll,accuracy,brier
TabPFN Classifier (v2.5 default),50,500,9500,5,0.14285540580749512,2.923316717147827,1,1,0,0,,,0.3637605844270682,0.7252631578947368,0.17899841891043985
TabPFN Classifier (v2 compatibility),50,500,9500,5,0.11090350151062012,2.5969431400299072,1,1,0,0,,,0.40269247274160164,0.7905263157894736,0.15071148639574183
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",100,500,9500,5,4.816307783126831,0.010356664657592773,16,16,0,1,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,81.0,4.588323593139648,0.7492631578947369,0.20545735362107498
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",100,500,9500,5,5.398646593093872,0.012320518493652344,16,16,0,8,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,44.0,4.5939040184021,0.7758947368421053,0.1796168287242905
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",100,500,9500,5,9.35016679763794,0.04778099060058594,16,16,0,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,80.0,4.587863445281982,0.7661052631578947,0.19468422658961027
TabPFN Classifier (v2.5 default),100,500,9500,5,0.1394662857055664,2.9967517852783203,1,1,0,0,,,0.19009015647977415,0.7865263157894736,0.14309833531954178
TabPFN Classifier (v2 compatibility),100,500,9500,5,0.13876891136169434,2.658677339553833,1,1,0,0,,,0.24770269150335242,0.8086315789473684,0.13122657539957852
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",300,500,9500,5,11.60624885559082,0.027544260025024414,16,16,0,5,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,133.0,4.612265586853027,0.867578947368421,0.09768855840458761
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",300,500,9500,5,7.146912336349487,0.03610563278198242,16,16,0,4,ABNORMAL: ,39.0,4.500802516937256,0.9057894736842105,0.06836113192638882
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",300,500,9500,5,33.499791860580444,0.13631820678710938,16,16,0,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,89.0,4.50838565826416,0.884,0.08555834838640831
TabPFN Classifier (v2.5 default),300,500,9500,5,0.17509031295776367,3.247986078262329,1,1,0,0,,,0.143770783829695,0.8694736842105263,0.09131008292959933
TabPFN Classifier (v2 compatibility),300,500,9500,5,0.1186072826385498,3.0516462326049805,1,1,0,0,,,0.15694283931189512,0.8698947368421053,0.09043086573579145
"GP+ GPClassifier (RBF, ARD, LBFGS-defaults)",500,500,9500,5,14.721227407455444,0.05618023872375488,16,16,0,1,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,76.0,4.440217971801758,0.872421052631579,0.0953940728131312
"GP+ GPClassifier (Matern, nu=0.5, ARD, LBFGS-defaults)",500,500,9500,5,11.77396559715271,0.06379342079162598,16,16,0,8,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,27.0,4.284499168395996,0.9084210526315789,0.06580912530104666
"GP+ GPClassifier (PowerExp, p=learned, LBFGS-defaults)",500,500,9500,5,67.85361218452454,0.2568240165710449,16,16,0,15,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,78.0,4.344240188598633,0.8930526315789473,0.07773808939544989
